game_id,player_a_id,player_b_id,player_c_id,player_d_id,team_ab_goals,team_cd_goals,entry_time_in_edt
1,237,235,241,239,10,9,2017-01-11 13:46:23
2,248,238,247,246,10,4,2017-01-11 13:45:32
3,242,235,240,245,10,2,2017-01-10 14:07:44
4,244,239,241,243,10,7,2017-01-10 14:03:13
5,242,237,238,235,10,8,2017-01-10 14:01:19
6,241,239,240,235,10,9,2017-01-09 14:25:12
7,238,237,239,240,10,7,2017-01-09 14:24:52
8,238,237,236,235,10,4,2017-01-09 14:23:57
9,242,245,241,249,10,2,2017-01-11 13:56:32
10,245,235,240,236,10,3,2017-01-11 13:57:35
11,239,251,250,237,10,5,2017-01-12 13:37:55
12,252,245,238,253,10,9,2017-01-12 13:51:25
13,242,236,248,235,10,9,2017-01-12 14:01:07
14,239,243,241,249,10,3,2017-01-12 14:09:39
15,241,250,255,254,10,0,2017-01-12 16:27:40
16,235,NULL,245,NULL,10,6,2017-01-12 20:46:04
17,252,239,253,245,10,4,2017-01-13 13:41:32
18,245,235,248,236,10,9,2017-01-13 13:42:04
19,242,249,241,239,10,2,2017-01-13 13:47:15
20,256,236,241,249,10,6,2017-01-13 13:57:14
21,240,235,257,245,10,7,2017-01-13 14:10:25
22,240,235,249,245,10,4,2017-01-16 13:58:47
23,242,245,243,235,10,4,2017-01-16 14:01:34
24,238,237,250,245,10,4,2017-01-17 13:35:23
25,239,235,242,249,10,5,2017-01-17 13:46:54
26,244,250,242,259,10,5,2017-01-17 14:05:34
27,249,238,240,236,10,5,2017-01-18 13:34:25
28,242,245,239,250,10,4,2017-01-18 13:43:41
29,240,235,244,256,10,8,2017-01-18 13:52:38
30,242,260,241,240,10,3,2017-01-18 14:03:55
31,256,261,262,245,10,3,2017-01-19 13:07:20
32,242,256,261,263,10,1,2017-01-19 13:49:30
33,245,NULL,256,NULL,10,9,2017-01-19 13:50:44
34,239,245,256,235,10,5,2017-01-19 14:00:58
35,249,238,250,240,10,7,2017-01-19 14:02:22
36,243,NULL,241,NULL,10,7,2017-01-19 14:18:36
37,243,NULL,241,NULL,10,3,2017-01-19 14:18:43
38,243,NULL,250,NULL,10,3,2017-01-19 14:18:55
39,256,237,236,245,10,2,2017-01-20 13:37:18
40,249,235,239,240,10,9,2017-01-20 13:57:16
41,244,235,240,238,10,5,2017-01-20 13:57:41
42,245,235,241,256,10,7,2017-01-20 19:38:34
43,244,239,250,235,10,5,2017-01-20 19:39:08
44,256,245,241,235,10,9,2017-01-20 19:50:06
45,244,256,245,235,10,6,2017-01-20 20:01:24
46,248,235,256,265,10,5,2017-01-23 17:21:16
47,238,237,239,245,10,5,2017-01-23 17:25:56
48,239,235,244,245,10,4,2017-01-23 19:23:24
49,241,239,244,245,10,6,2017-01-24 13:38:18
50,243,245,248,238,10,6,2017-01-24 14:02:33
51,242,261,256,250,10,7,2017-01-24 14:03:05
52,266,245,261,237,10,9,2017-01-24 19:10:33
53,244,256,261,260,10,2,2017-01-25 14:10:46
54,239,245,241,261,10,4,2017-01-25 19:44:00
55,241,244,261,245,10,6,2017-01-25 20:34:58
56,249,256,239,245,10,9,2017-01-26 13:33:03
57,244,245,268,267,10,1,2017-01-26 13:52:03
58,241,238,244,269,10,8,2017-01-26 14:02:21
59,256,NULL,245,NULL,10,7,2017-01-26 14:04:25
60,242,267,256,261,10,4,2017-01-26 14:05:47
61,242,244,239,245,10,3,2017-01-26 19:42:44
62,244,245,248,237,10,1,2017-01-27 13:40:27
63,243,245,241,249,10,4,2017-01-27 14:16:23
64,238,245,244,256,10,4,2017-01-27 18:26:00
65,238,245,248,256,10,7,2017-01-30 13:36:43
66,241,235,270,253,10,4,2017-01-30 13:41:11
67,256,235,241,249,10,1,2017-01-30 13:52:08
68,249,256,242,269,10,4,2017-01-30 13:59:58
69,239,235,249,256,10,2,2017-01-31 13:37:00
70,244,237,266,261,10,5,2017-01-31 13:38:12
71,244,245,239,250,10,3,2017-01-31 13:43:11
72,256,245,249,267,10,2,2017-01-31 13:48:18
73,242,245,249,235,10,5,2017-01-31 14:05:18
74,241,239,271,256,10,6,2017-02-01 13:55:42
75,252,235,239,250,10,9,2017-02-01 15:11:11
76,248,256,238,245,10,6,2017-02-01 19:29:11
77,244,235,248,256,10,4,2017-02-02 13:50:26
78,239,235,242,250,10,7,2017-02-03 13:51:20
79,240,237,248,245,10,9,2017-02-03 13:52:32
80,256,240,237,272,10,6,2017-02-06 13:41:14
81,241,239,240,235,10,3,2017-02-06 13:43:50
82,241,235,239,256,10,9,2017-02-06 13:57:30
83,242,245,238,235,10,9,2017-02-07 13:46:40
84,239,272,256,240,10,6,2017-02-07 13:58:50
85,265,235,239,248,10,8,2017-02-08 13:35:31
86,238,245,244,256,10,8,2017-02-08 13:47:05
87,244,235,241,256,10,9,2017-02-08 13:56:03
88,240,235,241,256,10,8,2017-02-08 14:04:18
89,264,245,273,253,10,2,2017-02-09 13:55:29
90,240,235,248,260,10,5,2017-02-09 13:56:07
91,264,235,241,245,10,9,2017-02-09 19:30:57
92,240,245,238,253,10,9,2017-02-10 13:45:10
93,239,256,242,249,10,2,2017-02-10 13:51:24
94,244,273,241,264,10,4,2017-02-13 11:26:31
95,239,240,266,245,10,5,2017-02-13 14:05:44
96,248,245,249,261,10,6,2017-02-14 13:37:59
97,242,235,241,240,10,2,2017-02-14 13:47:03
98,242,269,249,235,10,9,2017-02-14 20:37:10
99,245,272,248,250,10,5,2017-02-15 14:18:06
100,242,235,244,239,10,8,2017-02-15 14:18:36
101,242,245,239,269,10,7,2017-02-16 13:43:58
102,245,235,238,274,10,4,2017-02-16 13:45:30
103,244,267,249,240,10,2,2017-02-16 13:53:05
104,242,244,239,235,10,4,2017-02-16 14:06:28
105,239,240,250,245,10,3,2017-02-17 13:37:17
106,244,237,239,245,10,8,2017-02-17 13:52:57
107,242,240,249,235,10,8,2017-02-17 14:09:56
108,244,243,241,235,10,9,2017-02-17 19:25:33
109,239,235,242,269,10,6,2017-02-20 13:37:05
110,249,245,239,274,10,5,2017-02-20 13:43:53
111,245,235,242,249,10,5,2017-02-20 13:57:06
112,235,267,248,245,10,9,2017-02-20 19:29:49
113,244,245,241,252,10,5,2017-02-21 11:03:45
114,239,249,242,274,10,8,2017-02-21 13:44:28
115,244,255,264,235,10,6,2017-02-21 13:53:44
116,244,260,239,261,10,3,2017-02-22 13:39:48
117,235,254,248,249,10,5,2017-02-22 13:47:16
118,241,242,250,267,10,1,2017-02-22 13:51:36
119,241,237,255,254,10,2,2017-02-23 13:28:52
120,242,239,244,275,10,2,2017-02-23 13:36:01
121,244,239,249,235,10,5,2017-02-23 13:46:23
122,242,264,248,269,10,3,2017-02-23 13:52:58
123,249,235,269,267,10,1,2017-02-23 13:59:27
124,239,248,269,254,10,6,2017-02-24 13:32:59
125,269,235,242,274,10,9,2017-02-24 13:48:57
126,239,249,260,264,10,4,2017-02-24 13:54:40
127,275,235,269,274,10,5,2017-02-24 18:06:24
128,239,237,249,260,10,4,2017-02-24 18:09:42
129,248,269,276,277,10,5,2017-02-24 18:16:46
130,239,235,244,264,10,2,2017-02-24 18:23:00
131,252,260,239,269,10,6,2017-02-24 18:28:44
132,260,235,244,252,10,8,2017-02-24 18:45:05
133,238,235,239,248,10,2,2017-02-27 13:30:08
134,239,249,236,272,10,1,2017-02-27 13:35:46
135,248,235,249,272,10,3,2017-02-27 13:46:55
136,244,243,239,245,10,5,2017-02-27 13:59:10
137,244,238,239,240,10,2,2017-02-28 13:33:50
138,241,244,240,245,10,1,2017-02-28 13:36:30
139,239,240,248,235,10,7,2017-02-28 13:47:34
140,244,252,260,272,10,9,2017-02-28 14:05:27
141,260,235,248,256,10,0,2017-03-01 13:05:00
142,266,235,238,236,10,8,2017-03-01 13:33:15
143,261,243,239,274,10,1,2017-03-01 13:47:37
144,239,240,249,245,10,6,2017-03-01 13:49:31
145,240,235,248,260,10,8,2017-03-01 14:03:18
146,240,237,239,248,10,4,2017-03-02 13:33:56
147,241,238,256,245,10,7,2017-03-02 13:45:40
148,242,243,260,235,10,4,2017-03-02 13:58:05
149,266,245,248,237,10,4,2017-03-03 13:38:19
150,241,244,239,261,10,3,2017-03-03 13:42:05
151,241,235,252,264,10,0,2017-03-03 13:48:54
152,242,261,239,240,10,5,2017-03-03 13:58:34
153,237,245,238,254,10,7,2017-03-06 13:32:31
154,266,235,242,274,10,9,2017-03-06 13:45:39
155,244,235,242,240,10,5,2017-03-06 14:06:47
156,239,240,249,237,10,1,2017-03-07 13:41:31
157,249,240,248,245,10,2,2017-03-07 13:42:19
158,244,256,266,269,10,2,2017-03-07 13:48:22
159,242,256,239,235,10,9,2017-03-07 14:02:54
160,239,269,249,261,10,5,2017-03-08 13:44:45
161,243,235,242,248,10,8,2017-03-08 13:59:42
162,239,240,237,272,10,9,2017-03-09 13:34:19
163,242,252,244,260,10,4,2017-03-09 13:46:19
164,240,238,248,269,10,2,2017-03-09 13:53:08
165,238,236,261,237,10,4,2017-03-10 13:31:17
166,244,240,248,235,10,9,2017-03-10 13:53:11
167,239,269,249,261,10,6,2017-03-10 14:03:58
168,244,239,237,235,10,6,2017-03-11 12:05:27
169,241,240,261,243,10,7,2017-03-11 12:06:10
170,256,238,244,239,10,6,2017-03-13 13:52:26
171,261,237,240,269,10,4,2017-03-13 15:24:33
172,244,239,238,237,10,7,2017-03-14 16:03:13
173,244,245,242,248,10,5,2017-03-15 14:06:00
174,256,NULL,240,NULL,10,9,2017-03-15 17:01:13
175,239,240,244,272,10,7,2017-03-15 17:01:38
176,271,256,248,266,10,8,2017-03-16 13:14:58
177,239,256,244,245,10,6,2017-03-16 13:46:14
178,239,248,240,237,10,4,2017-03-17 13:17:22
179,249,256,244,245,10,5,2017-03-17 13:26:33
